nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,closedIssuesRate,releases
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,99,2023-03-08T19:23:05Z,-2.9867153213888886,TypeScript,19324,16722,16567,0.9907307738308815,0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,113,2023-03-08T19:17:46Z,-2.898104210277778,None,5595,911,886,0.9725576289791438,0
996icu/996.ICU,2019-03-26T07:31:14Z,48,2023-03-08T18:09:25Z,-1.758937543611111,None,1063,0,0,0,0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,81,2023-03-08T19:21:25Z,-2.958937543611111,None,360,385,341,0.8857142857142857,0
sindresorhus/awesome,2014-07-11T13:42:37Z,104,2023-03-08T19:07:19Z,-2.723937543611111,None,607,321,297,0.9252336448598131,0
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,72,2023-03-08T19:21:11Z,-2.9550486547222223,Astro,1456,918,760,0.8278867102396514,1
public-apis/public-apis,2016-03-20T23:49:42Z,84,2023-03-08T19:08:44Z,-2.7475486547222223,Python,1871,445,416,0.9348314606741573,0
donnemartin/system-design-primer,2017-02-26T16:15:28Z,73,2023-03-08T19:18:57Z,-2.9178264325,Python,195,244,71,0.29098360655737704,0
facebook/react,2013-05-24T16:15:54Z,118,2023-03-08T19:23:41Z,-2.996715321388889,JavaScript,8863,12085,11150,0.9226313611915598,99
vuejs/vue,2013-07-29T03:24:51Z,116,2023-03-08T19:14:28Z,-2.8431042102777777,TypeScript,1118,9948,9584,0.9634097305991154,245
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,58,2023-03-08T18:37:41Z,-2.2300486547222222,None,113,542,378,0.6974169741697417,0
tensorflow/tensorflow,2015-11-07T01:19:20Z,88,2023-03-08T19:09:09Z,-2.7544930991666665,C++,15780,36799,34742,0.9441017418951602,186
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,112,2023-03-08T19:20:25Z,-2.9422708769444443,None,356,908,825,0.9085903083700441,0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,60,2023-03-08T18:59:05Z,-2.5867153213888887,JavaScript,280,314,207,0.6592356687898089,0
twbs/bootstrap,2011-07-29T21:19:00Z,140,2023-03-08T18:25:06Z,-2.0203264325,JavaScript,8195,21811,21547,0.9878960157718583,83
CyC2018/CS-Notes,2018-02-13T14:56:24Z,61,2023-03-08T17:50:31Z,-1.443937543611111,None,375,559,440,0.7871198568872988,0
vinta/awesome-python,2014-06-27T21:00:06Z,105,2023-03-08T19:20:47Z,-2.9483819880555555,Python,530,501,488,0.9740518962075848,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,163,2023-03-08T18:47:47Z,-2.3983819880555552,Shell,2848,4391,4175,0.9508084718742883,0
TheAlgorithms/Python,2016-07-16T09:44:01Z,80,2023-03-08T19:04:30Z,-2.6769930991666664,Python,2158,1227,1209,0.9853300733496333,0
flutter/flutter,2015-03-06T22:54:58Z,96,2023-03-08T19:22:28Z,-2.976437543611111,Dart,29903,79479,68147,0.8574214572402773,0
torvalds/linux,2011-09-04T22:48:12Z,138,2023-03-08T19:16:09Z,-2.871159765833333,C,9,0,0,0,0
github/gitignore,2010-11-08T20:17:14Z,148,2023-03-08T19:10:17Z,-2.7733819880555552,None,1523,0,0,0,0
microsoft/vscode,2015-09-03T20:23:38Z,90,2023-03-08T18:33:10Z,-2.1547708769444442,TypeScript,15639,151929,145755,0.9593625970025472,92
ossu/computer-science,2014-05-04T00:18:39Z,106,2023-03-08T18:58:29Z,-2.576715321388889,None,236,599,585,0.9766277128547579,0
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,94,2023-03-08T19:20:02Z,-2.9358819880555553,None,313,232,130,0.5603448275862069,0
airbnb/javascript,2012-11-01T23:13:50Z,124,2023-03-08T18:31:55Z,-2.133937543611111,JavaScript,792,1235,1138,0.9214574898785425,0
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,58,2023-03-08T16:56:49Z,-0.5489375436111111,Java,777,860,794,0.9232558139534883,0
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,60,2023-03-08T18:00:05Z,-1.6033819880555555,Python,12,596,102,0.17114093959731544,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,93,2023-03-08T18:49:01Z,-2.418937543611111,Makefile,2104,763,711,0.9318479685452162,0
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,149,2023-03-08T19:01:52Z,-2.6331042102777777,Python,1602,25645,21808,0.8503801910703841,341
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,37,2023-03-08T17:45:45Z,-1.3644930991666666,Markdown,210,496,425,0.8568548387096774,1
golang/go,2014-08-19T04:33:40Z,103,2023-03-08T18:37:12Z,-2.2219930991666668,Go,1,54801,46923,0.8562434992062189,0
30-seconds/30-seconds-of-code,2017-11-29T17:35:03Z,64,2023-03-08T19:11:05Z,-2.786715321388889,JavaScript,754,277,277,1.0,4
facebook/react-native,2015-01-09T18:10:16Z,98,2023-03-08T18:11:02Z,-1.7858819880555554,JavaScript,660,24020,22047,0.9178601165695254,242
electron/electron,2013-04-12T01:47:36Z,119,2023-03-08T17:34:28Z,-1.176437543611111,C++,16600,18071,17208,0.9522439267334403,1000
d3/d3,2010-09-27T17:22:42Z,150,2023-03-08T18:43:28Z,-2.326437543611111,JavaScript,439,2134,2129,0.9976569821930646,190
vercel/next.js,2016-10-05T23:32:51Z,77,2023-03-08T18:36:51Z,-2.2161597658333334,JavaScript,11698,15367,14113,0.9183965640658555,1000
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,112,2023-03-08T19:11:11Z,-2.7883819880555554,None,280,0,0,0,3
axios/axios,2014-08-18T22:30:27Z,103,2023-03-08T19:11:13Z,-2.788937543611111,JavaScript,728,4120,3785,0.9186893203883495,57
facebook/create-react-app,2016-07-17T14:55:11Z,80,2023-03-08T18:35:25Z,-2.1922708769444443,JavaScript,1942,8003,6465,0.8078220667249781,83
avelino/awesome-go,2014-07-06T13:42:15Z,104,2023-03-08T19:14:08Z,-2.837548654722222,Go,2915,554,527,0.9512635379061372,0
kubernetes/kubernetes,2014-06-06T22:56:04Z,105,2023-03-08T18:51:21Z,-2.4578264325,Go,54329,42621,41006,0.9621078810914807,587
nodejs/node,2014-11-26T19:57:11Z,100,2023-03-08T19:11:15Z,-2.7894930991666667,JavaScript,5792,15654,14364,0.9175929474894595,334
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,71,2023-03-08T19:17:48Z,-2.898659765833333,None,179,69,44,0.6376811594202898,0
