nameWithOwner,createdAt,age,updatedAt,timeSinceLastUpdate,primaryLanguage,pullRequests,issues,closedIssues,releases
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,99,2023-03-08T02:22:09Z,-2.9978438908333334,TypeScript,19316,16719,16564,0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,113,2023-03-08T02:16:18Z,-2.900343890833333,None,5595,911,886,0
996icu/996.ICU,2019-03-26T07:31:14Z,48,2023-03-08T00:58:47Z,-1.6083994463888889,None,1063,0,0,0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,81,2023-03-08T02:16:15Z,-2.8995105575,None,360,383,339,0
sindresorhus/awesome,2014-07-11T13:42:37Z,104,2023-03-08T02:21:53Z,-2.9933994463888887,None,607,321,297,0
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,72,2023-03-08T02:21:27Z,-2.9861772241666666,Astro,1456,916,760,1
public-apis/public-apis,2016-03-20T23:49:42Z,84,2023-03-08T01:59:21Z,-2.6178438908333335,Python,1871,444,416,0
donnemartin/system-design-primer,2017-02-26T16:15:28Z,73,2023-03-08T02:15:54Z,-2.893677224166667,Python,195,244,71,0
facebook/react,2013-05-24T16:15:54Z,118,2023-03-08T02:04:48Z,-2.708677224166667,JavaScript,8857,12084,11149,99
vuejs/vue,2013-07-29T03:24:51Z,116,2023-03-08T01:58:53Z,-2.6100661130555554,TypeScript,1118,9948,9584,245
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,58,2023-03-08T02:15:01Z,-2.8789550019444445,None,113,542,378,0
tensorflow/tensorflow,2015-11-07T01:19:20Z,88,2023-03-08T02:10:28Z,-2.803121668611111,C++,15779,36790,34738,186
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,112,2023-03-08T02:07:47Z,-2.758399446388889,None,356,908,825,0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,60,2023-03-08T02:12:43Z,-2.840621668611111,JavaScript,280,314,207,0
twbs/bootstrap,2011-07-29T21:19:00Z,140,2023-03-08T02:00:09Z,-2.6311772241666667,JavaScript,8192,21809,21545,83
CyC2018/CS-Notes,2018-02-13T14:56:24Z,61,2023-03-08T02:21:07Z,-2.980621668611111,None,375,559,440,0
vinta/awesome-python,2014-06-27T21:00:06Z,105,2023-03-08T02:07:06Z,-2.7470105575,Python,530,501,480,0
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,163,2023-03-08T01:33:08Z,-2.1808994463888887,Shell,2847,4390,4175,0
TheAlgorithms/Python,2016-07-16T09:44:01Z,80,2023-03-08T02:10:21Z,-2.8011772241666666,Python,2158,1227,1209,0
